environment,architecture,tier,server,workload,concurrency,connection_mode,trials,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_ms,median_p90_ms,median_p99_ms,median_p999_ms,minimum_success_rate,maximum_timeouts,classification
local-arm64,arm64,plain,flyology-lightweight,response-1k,8,keepalive,1,140845.14497945042,140845.14497945042,140845.14497945042,0.053002,0.07792,0.13133799999999998,0.30413599999999996,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-lightweight,response-1k,32,keepalive,1,380730.81665057974,380730.81665057974,380730.81665057974,0.062459999999999995,0.12417099999999999,0.444182,1.9935289999999999,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-lightweight,response-1k,128,keepalive,1,491847.22574426443,491847.22574426443,491847.22574426443,0.12688,0.20846499999999998,3.8878440000000003,6.730944,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-native,plaintext,8,keepalive,1,142819.5950965738,142819.5950965738,142819.5950965738,0.053544,0.073585,0.102045,0.29455200000000004,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-native,plaintext,32,keepalive,1,385939.04297490616,385939.04297490616,385939.04297490616,0.073669,0.127463,0.244842,0.49097500000000005,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-native,plaintext,128,keepalive,1,505429.38477332337,505429.38477332337,505429.38477332337,0.23946699999999999,0.385764,0.6092299999999999,1.113372,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-native,response-1k,8,keepalive,1,139955.81419799046,139955.81419799046,139955.81419799046,0.054252,0.074627,0.106003,0.298552,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-native,response-1k,32,keepalive,1,360790.4798714548,360790.4798714548,360790.4798714548,0.074752,0.140839,0.291177,0.635605,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,flyology-native,response-1k,128,keepalive,1,490381.2293595137,490381.2293595137,490381.2293595137,0.252383,0.390347,0.605438,1.34613,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,hyper,plaintext,8,keepalive,1,244398.12889155018,244398.12889155018,244398.12889155018,0.030834000000000004,0.049959,0.074835,0.169419,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,hyper,plaintext,32,keepalive,1,396227.3167639897,396227.3167639897,396227.3167639897,0.077251,0.125793,0.16321,0.20550200000000002,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,hyper,plaintext,128,keepalive,1,541100.9032678991,541100.9032678991,541100.9032678991,0.21471099999999999,0.434089,0.646217,0.900636,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,hyper,response-1k,8,keepalive,1,229791.85215460404,229791.85215460404,229791.85215460404,0.033167,0.052459,0.076126,0.142918,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,hyper,response-1k,32,keepalive,1,378952.1685023167,378952.1685023167,378952.1685023167,0.081084,0.129835,0.16783499999999998,0.254045,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,hyper,response-1k,128,keepalive,1,472347.8687985007,472347.8687985007,472347.8687985007,0.252545,0.46708999999999995,0.8373849999999999,2.0250670000000004,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,servletada-aws,routed-get,8,keepalive,1,35942.97897863221,35942.97897863221,35942.97897863221,0.204503,0.33950400000000003,0.5150070000000001,0.767177,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,servletada-aws,routed-get,32,keepalive,1,17466.056887995448,17466.056887995448,17466.056887995448,1.86669,2.067484,2.226112,4.676184,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,servletada-aws,routed-get,128,keepalive,1,18640.64940943542,18640.64940943542,18640.64940943542,6.914504,7.918349999999999,10.075503,24.291308,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,servletada-ews,routed-get,8,keepalive,1,24345.607880092535,24345.607880092535,24345.607880092535,0.074668,0.08504300000000001,0.22525299999999998,51.82674,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,servletada-ews,routed-get,32,keepalive,1,24557.593818703714,24557.593818703714,24557.593818703714,0.07571,0.082001,0.09483399999999999,533.022454,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,servletada-ews,routed-get,128,keepalive,1,13779.281200628215,13779.281200628215,13779.281200628215,0.076459,0.08287599999999999,0.093459,1481.490499,1.0,0,one-second-saturation-probe
shared-arm64,arm64,application,actix-web,routed-get,8,keepalive,3,198828.41368642173,195559.83613328874,200459.99324967427,0.03792,0.04216,0.06336,0.12868100000000002,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,actix-web,routed-get,32,keepalive,3,611637.9869622632,600211.7959932226,613546.5492257647,0.05028,0.05792,0.088241,0.150681,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,actix-web,routed-get,128,keepalive,3,715455.5604121048,713475.5803922622,717121.1652919151,0.186361,0.20428100000000002,0.245201,0.339362,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,aws,plaintext,8,keepalive,3,62417.298430782466,60625.10850015105,63158.91424327214,0.123321,0.143201,0.20348100000000002,0.281321,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,aws,plaintext,32,keepalive,3,39426.500801710295,37691.99462396514,39447.30964466457,0.796044,0.938405,1.123046,1.548087,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,aws,plaintext,128,keepalive,3,36898.82390400621,35385.599618281885,37480.747067961776,3.423817,3.775139,4.226102,7.033315,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,aws,response-1k,8,keepalive,3,60484.375618554644,59663.944675144216,60892.92572026006,0.12716100000000002,0.14788099999999998,0.221561,0.316602,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,aws,response-1k,32,keepalive,3,37610.09895068556,36629.74727828266,38537.80104223766,0.8357640000000001,0.986725,1.1654849999999999,1.456848,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,aws,response-1k,128,keepalive,3,35752.3881443528,34579.91343050977,36209.17691746245,3.5360169999999997,3.9038190000000004,4.354101,7.968839999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,axum,routed-get,8,keepalive,3,130683.50603811361,130265.31340371998,134324.9743429834,0.05276,0.08724,0.14644,0.204761,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,axum,routed-get,32,keepalive,3,465906.8212935249,448776.42672105046,470975.69103092275,0.06431999999999999,0.0868,0.129761,0.292481,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,axum,routed-get,128,keepalive,3,517465.6315534766,490223.4752284128,521743.0288451581,0.235761,0.341002,0.456163,0.843284,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,flyology-app-lightweight,routed-get,8,keepalive,3,100949.98496728035,100760.41541559456,101480.06743188467,0.07508000000000001,0.08988,0.152481,0.280601,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,flyology-app-lightweight,routed-get,32,keepalive,3,187884.79994413682,187653.1623655307,191603.5827820649,0.08396,0.18988,2.008331,3.804099,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,flyology-app-lightweight,routed-get,128,keepalive,3,203407.3112066897,202972.17244224675,204475.392794949,0.30696199999999996,1.420007,5.233385999999999,8.321321,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,flyology-app-native,routed-get,8,keepalive,3,95888.10795728487,95638.54301671548,96087.45351745626,0.073681,0.115881,0.18144100000000002,0.405922,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,flyology-app-native,routed-get,32,keepalive,3,177644.97118614157,175759.85168962087,181781.0120831322,0.186281,0.250761,0.419602,0.7546029999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,flyology-app-native,routed-get,128,keepalive,3,193296.94095440468,192754.23556938756,193377.1899965893,0.6494829999999999,0.7878040000000001,1.4718470000000001,2.356891,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-lightweight,plaintext,8,keepalive,3,114495.85011550966,114209.50287509014,114605.25220641523,0.06284000000000001,0.091321,0.14572000000000002,0.273162,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-lightweight,plaintext,32,keepalive,3,222832.20455251,221509.51614567664,224201.0904426748,0.076881,0.194441,1.469567,3.111215,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-lightweight,plaintext,128,keepalive,3,245215.4672133411,244342.52110685184,245462.38633037178,0.253921,1.049285,4.454022,8.235081,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-lightweight,response-1k,8,keepalive,3,111058.95612743954,107951.82734603652,111611.26115832858,0.06632,0.08739999999999999,0.146721,0.274961,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-lightweight,response-1k,32,keepalive,3,211743.67524710295,211336.0983841724,212137.86799710648,0.07872000000000001,0.19864099999999998,1.6182880000000002,3.254096,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-lightweight,response-1k,128,keepalive,3,231590.1222277377,230560.40561586205,231852.5652822547,0.26964099999999996,1.261646,4.772423,8.262201000000001,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-native,plaintext,8,keepalive,3,105994.45836085189,103653.14700644527,107359.98184914891,0.06396,0.102441,0.168241,0.39220200000000005,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-native,plaintext,32,keepalive,3,204716.02366771942,202337.31988926532,206987.34935326528,0.15988100000000002,0.221241,0.375481,0.705604,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-native,plaintext,128,keepalive,3,223279.92422664768,222507.86493472464,223475.69446623843,0.559843,0.689443,1.207126,1.92169,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-native,response-1k,8,keepalive,3,98859.99771618492,98252.9753649701,100526.14981520307,0.06852,0.108481,0.177081,0.401482,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-native,response-1k,32,keepalive,3,195767.27710351918,194959.4686086513,196517.9548298552,0.168401,0.223241,0.383402,0.712844,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,flyology-native,response-1k,128,keepalive,3,212256.807623344,211857.20435474423,212585.29318903416,0.590803,0.720483,1.283846,2.1044509999999996,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,hyper,plaintext,8,keepalive,3,140017.46501777874,138976.27835597584,140322.8159775106,0.05004,0.0802,0.12976000000000001,0.17916100000000001,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,hyper,plaintext,32,keepalive,3,499664.5174640331,485827.7157984928,502692.24176335474,0.05860099999999999,0.0798,0.12860000000000002,0.325482,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,hyper,plaintext,128,keepalive,3,582132.9570387055,556762.1370142722,585026.9385392567,0.208081,0.297201,0.406242,0.6882429999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,hyper,response-1k,8,keepalive,3,136038.10158688333,132967.89921388956,138276.13412889175,0.051320000000000005,0.08320100000000001,0.135281,0.18528,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,hyper,response-1k,32,keepalive,3,485658.1942922358,468452.75476826646,496276.27379090874,0.060000000000000005,0.082121,0.143041,0.342122,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,plain,hyper,response-1k,128,keepalive,3,563890.3263957232,540540.7947542407,565330.1978799932,0.21516100000000002,0.30720200000000003,0.417802,0.796284,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,servletada-aws,routed-get,8,keepalive,3,27418.486078054204,26696.56331631368,27457.47207936016,0.282681,0.337882,0.43732200000000004,0.654443,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,servletada-aws,routed-get,32,keepalive,3,19348.11102658198,18896.826390585433,19408.90027157278,1.617248,1.9772499999999997,2.388492,3.068936,1.0,0,three-trial-ten-second-saturation-probe
shared-arm64,arm64,application,servletada-aws,routed-get,128,keepalive,3,18237.53962728224,17950.609205068686,18646.563066106868,6.936755,7.566637999999999,8.245481,14.046990000000001,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,actix-web,routed-get,8,keepalive,3,295060.50731083495,294232.4255382258,296528.77843277267,0.026404,0.027349,0.032274000000000004,0.049051000000000004,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,actix-web,routed-get,32,keepalive,3,663151.4102161486,655941.7568095136,665801.5640551603,0.044494,0.066576,0.105285,0.402434,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,actix-web,routed-get,128,keepalive,3,877075.9006394681,872629.9553359541,880900.0651880554,0.046254,0.055569,6.047541,9.062718,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,aws,plaintext,8,keepalive,3,88501.58343089127,86875.86873307146,91462.05833012608,0.089256,0.103758,0.117809,0.142657,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,aws,plaintext,32,keepalive,3,76908.21362772786,75361.90002453572,77781.79141236715,0.410377,0.46196,0.530039,0.6603359999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,aws,plaintext,128,keepalive,3,74854.09765692757,74317.58962789948,76106.32361029497,1.696177,1.7743229999999999,1.875883,2.29885,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,aws,response-1k,8,keepalive,3,86928.6206186684,86392.38072700382,90046.87539300072,0.09085399999999999,0.105352,0.119175,0.140818,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,aws,response-1k,32,keepalive,3,74684.78846727598,73945.10744693974,76063.58949228957,0.421617,0.475573,0.5472250000000001,0.682069,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,aws,response-1k,128,keepalive,3,73340.070455063,72108.2378705206,75231.44749460001,1.734481,1.81046,1.896141,2.3056840000000003,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,axum,routed-get,8,keepalive,3,257443.99367284524,257391.15768072734,258821.26977158544,0.028984,0.040117,0.052451000000000005,0.06436800000000001,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,axum,routed-get,32,keepalive,3,601954.4222478932,591629.5619014564,604029.6172137662,0.049907,0.072492,0.101595,0.192576,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,axum,routed-get,128,keepalive,3,757611.3888594013,753787.7829523108,758745.5711304902,0.15903,0.237538,0.337611,0.8907090000000001,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,flyology-app-lightweight,routed-get,8,keepalive,3,141415.0623223479,138013.24575727512,142912.3746361061,0.055986999999999995,0.060129,0.126077,0.5248240000000001,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,flyology-app-lightweight,routed-get,32,keepalive,3,270268.2880519251,268560.3273401989,270632.54269623564,0.058437,0.090268,2.301493,5.159228,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,flyology-app-lightweight,routed-get,128,keepalive,3,282450.66534782253,279433.41066789045,284773.29300601396,0.221824,0.296584,4.522115,7.3354550000000005,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,flyology-app-native,routed-get,8,keepalive,3,181121.59633904294,180840.2691595139,181472.03635728033,0.041041,0.042713,0.054251,0.373747,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,flyology-app-native,routed-get,32,keepalive,3,273814.5994650862,273261.3495908702,274927.6545165015,0.102423,0.16430399999999998,0.458941,1.1991969999999998,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,flyology-app-native,routed-get,128,keepalive,3,286528.7413621619,286002.76187452953,288457.08164796873,0.445635,0.553539,0.74482,1.275119,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-lightweight,plaintext,8,keepalive,3,164595.3248882496,163200.11111531645,164721.0157269342,0.045861,0.04918,0.11793100000000001,0.528811,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-lightweight,plaintext,32,keepalive,3,342222.89065858925,335778.72572484135,344108.67277918576,0.04802,0.080702,1.409416,3.847591,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-lightweight,plaintext,128,keepalive,3,355706.4174478485,350879.57286729943,356783.0908875327,0.174566,0.231553,4.2333609999999995,7.268161,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-lightweight,response-1k,8,keepalive,3,157763.0796582388,157107.70261861995,158323.06124160904,0.048439,0.052537,0.119874,0.5214319999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-lightweight,response-1k,32,keepalive,3,323881.3898533826,321755.89045005897,326534.7140380217,0.050235999999999996,0.081874,1.559661,4.046865,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-lightweight,response-1k,128,keepalive,3,339222.7252200349,336314.2812336376,341626.8888203079,0.183892,0.23355800000000002,4.24876,7.239599999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-native,plaintext,8,keepalive,3,201738.11572620878,200548.31852953555,201799.51403981293,0.036827,0.038358,0.048046,0.365202,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-native,plaintext,32,keepalive,3,337446.12462584244,337433.6804201218,338450.17282281956,0.081698,0.129262,0.420263,0.995166,1.0,0,three-trial-ten-second-saturation-probe
